

"CSV Field ","resourceDetail Object Property "
"LastVerifiedByEmailAddress ",
"LastVerificationApprovedBy ",
"AvailableForDirectory ",
"AvailableForReferral ",
"AvailableForResearch ",
"PreferredProvider ","/isFeatured "
"ConnectsToSiteNum ","/related[@type=“Site“]/id "
"ConnectsToProgramNum ","/related[@type=“Program“]/id "
"LanguageOfRecord ","HTTP Response Header: Content-Language "
"Categories ","/categories/id "
"TaxonomyTerm ",
"TaxonomyTerms ","Use the /Resource/Taxonomy service. "
"TaxonomyTermsNotDeactivated ",
"TaxonomyCodes ","/taxonomy "
"Coverage ",
"Hours ","/hours/notes "
"Custom_... ","/customFields "
